"'n Verlore Verstand","","ingame","slow;status-ingame"
"10 Second Run RETURNS Demo","0100DC000A472000","ingame","gpu;status-ingame"
"10 Second Run Returns","01004D1007926000","ingame","gpu;status-ingame"
"13 Sentinels Aegis Rim","01003FC01670C000","ingame","slow;status-ingame"
"20XX","0100749009844000","ingame","gpu;status-ingame"
"60 Seconds!","0100969005E98000","ingame","services;status-ingame"
"8-BIT ADVENTURE STEINS;GATE","","ingame","audio;status-ingame"
"9 Monkeys of Shaolin","","ingame","UE4;gpu;slow;status-ingame"
"9 Monkeys of Shaolin Demo","0100C5F012E3E000","ingame","UE4;gpu;nvdec;status-ingame"
"A Dark Room","","ingame","gpu;status-ingame"
"A Duel Hand Disaster Trackher: DEMO","0100582012B90000","ingame","crash;demo;nvdec;status-ingame"
"Ace Combat 7","010039301B7E0000","ingame","gpu;status-ingame;UE4"
"Actual Sunlight","","ingame","gpu;status-ingame"
"AeternoBlade II Demo Version","","ingame","gpu;nvdec;status-ingame"
"Aggelos","010004D00A9C0000","ingame","gpu;status-ingame"
"Akash Path of the Five","","ingame","gpu;nvdec;status-ingame"
"Alchemic Jousts","0100F5400AB6C000","ingame","gpu;status-ingame"
"Alder's Blood Prologue","01004510110C4000","ingame","crash;status-ingame"
"Alluris","0100AC501122A000","ingame","gpu;status-ingame;UE4"
"Angry Video Game Nerd I & II Deluxe","","ingame","crash;status-ingame"
"Animal Crossing New Horizons Island Transfer Tool","0100F38011CFE000","ingame","services;status-ingame;Needs Update;Incomplete"
"Animal Crossing: New Horizons","01006F8002326000","ingame","gpu;status-ingame;crash;nvdec;online-broken;ldn-works;mac-bug"
"Animal Fight Club","","ingame","gpu;status-ingame"
"Another Code: Recollection","0100CB9018F5A000","ingame","gpu;status-ingame;crash"
"Another Sight","","ingame","UE4;gpu;nvdec;status-ingame"
"Apocryph","","ingame","gpu;status-ingame"
"Apparition","","ingame","nvdec;slow;status-ingame"
"Aqua Lungers","","ingame","crash;status-ingame"
"Arcade Archives Kid Niki Radical Ninja","010010B008A36000","ingame","audio;status-ingame;online"
"Arcade Archives NINJA GAIDEN","01003EF00D3B4000","ingame","audio;online;status-ingame"
"Arcade Archives PLUS ALPHA","","ingame","audio;status-ingame"
"Arcade Archives THE NINJA WARRIORS","0100DC000983A000","ingame","online;slow;status-ingame"
"Ark: Survival Evolved","0100D4A00B284000","ingame","gpu;status-ingame;nvdec;online-broken;UE4;ldn-untested"
"Arkanoid vs Space Invaders","","ingame","services;status-ingame"
"Art of Balance","01008EC006BE2000","ingame","gpu;status-ingame;ldn-works"
"Art of Balance DEMO","010062F00CAE2000","ingame","gpu;slow;status-ingame"
"Asemblance","","ingame","UE4;gpu;status-ingame"
"Assassin's Creed The Rebel Collection","010044700DEB0000","ingame","gpu;status-ingame"
"Assault Chainguns KM","","ingame","crash;gpu;status-ingame"
"Asterix & Obelix XXL 2","010050400BD38000","ingame","deadlock;status-ingame;nvdec"
"Asterix & Obelix XXL3: The Crystal Menhir","010081500EA1E000","ingame","gpu;status-ingame;nvdec;regression"
"Asterix & Obelix XXL: Romastered","0100F46011B50000","ingame","gpu;status-ingame;nvdec;opengl"
"Atelier Firis: The Alchemist and the Mysterious Journey DX","010023201421E000","ingame","gpu;status-ingame;nvdec"
"Atelier Sophie 2: The Alchemist of the Mysterious Dream","010082A01538E000","ingame","status-ingame;crash"
"Attack of the Toy Tanks","","ingame","slow;status-ingame"
"Balan Wonderworld Demo","0100E48013A34000","ingame","gpu;services;status-ingame;UE4;demo"
"Balatro","0100CD801CE5E000","ingame","status-ingame"
"Barbearian","0100F7E01308C000","ingame","Needs Update;gpu;status-ingame"
"Batman: Arkham Knight","0100ACD0163D0000","ingame","gpu;status-ingame;mac-bug"
"Battle Hunters","0100A3B011EDE000","ingame","gpu;status-ingame"
"Battleground","0100650010DD4000","ingame","status-ingame;crash"
"Bayonetta 3","01004A4010FEA000","ingame","gpu;status-ingame;crash;nvdec;vulkan-backend-bug;opengl-backend-bug;amd-vendor-bug;ASTC"
"Bayonetta Origins Cereza and the Lost Demon Demo","010002801A3FA000","ingame","gpu;status-ingame;demo"
"Bayonetta Origins: Cereza and the Lost Demon","0100CF5010FEC000","ingame","gpu;status-ingame"
"Be-A Walker","","ingame","slow;status-ingame"
"Beautiful Desolation","01006B0014590000","ingame","gpu;status-ingame;nvdec"
"Biomutant","01004BA017CD6000","ingame","status-ingame;crash"
"Black Legend","0100C3200E7E6000","ingame","gpu;status-ingame;UE4;vulkan-backend-bug;opengl-backend-bug"
"Blade II The Return of Evil","01009CC00E224000","ingame","audio;status-ingame;crash;UE4"
"Blanc","010039501405E000","ingame","gpu;slow;status-ingame"
"Blood Waves","01007E700D17E000","ingame","gpu;status-ingame"
"Bokujou Monogatari Saikai no Mineraru Taun (Story of Seasons: Friends of Mineral Town)","01001D900D9AC000","ingame","slow;status-ingame;crash;Needs Update"
"Borderlands 3","01009970122E4000","ingame","gpu;status-ingame"
"Borderlands: Game of the Year Edition","010064800F66A000","ingame","slow;status-ingame;online-broken;ldn-untested"
"Boreal Blade","01008E500AFF6000","ingame","gpu;ldn-untested;online;status-ingame"
"Bot Vice Demo","010069B00EAC8000","ingame","crash;demo;status-ingame"
"Bravely Default II","01006DC010326000","ingame","gpu;status-ingame;crash;Needs Update;UE4"
"Bravely Default II Demo","0100B6801137E000","ingame","gpu;status-ingame;crash;UE4;demo"
"Breakout: Recharged","010022C016DC8000","ingame","slow;status-ingame"
"Brick Breaker","","ingame","crash;status-ingame"
"Bridge Constructor: The Walking Dead","","ingame","gpu;slow;status-ingame"
"Bubsy: Paws on Fire!","0100DBE00C554000","ingame","slow;status-ingame"
"Bucket Knight","","ingame","crash;status-ingame"
"COCOON","01002E700C366000","ingame","gpu;status-ingame"
"CONTRA: ROGUE CORPS Demo","0100B8200ECA6000","ingame","gpu;status-ingame"
"Cadence of Hyrule Crypt of the NecroDancer Featuring The Legend of Zelda Demo","","ingame","demo;gpu;nvdec;status-ingame"
"Cake Bash Demo","0100699012F82000","ingame","crash;demo;status-ingame"
"Call of Juarez: Gunslinger","0100B4700BFC6000","ingame","gpu;status-ingame;nvdec"
"Cars 3 Driven to Win","01008D1001512000","ingame","gpu;status-ingame"
"Catherine Full Body for Nintendo Switch (JP)","0100BAE0077E4000","ingame","Needs Update;gpu;status-ingame"
"Caveblazers","01001A100C0E8000","ingame","slow;status-ingame"
"Cendrillon palikA","01006B000A666000","ingame","gpu;status-ingame;nvdec"
"Chasm: The Rift","010034301A556000","ingame","gpu;status-ingame"
"Chickens Madness DEMO","0100CAC011C3A000","ingame","UE4;demo;gpu;nvdec;status-ingame"
"Children of Morta","01002DE00C250000","ingame","gpu;status-ingame;nvdec"
"Chocobo GP","01006A30124CA000","ingame","gpu;status-ingame;crash"
"Chou no Doku Hana no Kusari: Taishou Irokoi Ibun","","ingame","gpu;nvdec;status-ingame"
"Chronos","","ingame","UE4;gpu;nvdec;status-ingame"
"Citizens Unite!: Earth x Space","0100D9C012900000","ingame","gpu;status-ingame"
"Clea","","ingame","crash;status-ingame"
"Clustertruck","010096900A4D2000","ingame","slow;status-ingame"
"Commander Keen in Keen Dreams","0100C4D00D16A000","ingame","gpu;status-ingame"
"Commandos 2 HD Remaster","010065A01158E000","ingame","gpu;status-ingame;nvdec"
"Cosmic Fantasy Collection","0100CCB01B1A0000","ingame","status-ingame"
"Cozy Grove","01003370136EA000","ingame","gpu;status-ingame"
"Crash Team Racing Nitro-Fueled","0100F9F00C696000","ingame","gpu;status-ingame;nvdec;online-broken"
"Crazy Strike Bowling EX","","ingame","UE4;gpu;nvdec;status-ingame"
"Creature in the Well","","ingame","UE4;gpu;status-ingame"
"Cresteaju","","ingame","gpu;status-ingame"
"Cricket 19","010022D00D4F0000","ingame","gpu;status-ingame"
"Cris Tales","0100B0400EBC4000","ingame","crash;status-ingame"
"Cruis'n Blast","0100B41013C82000","ingame","gpu;status-ingame"
"Cupid Parasite","0100F7E00DFC8000","ingame","gpu;status-ingame"
"Cybxus Heart","01006B9013672000","ingame","gpu;slow;status-ingame"
"DARK SOULS™: REMASTERED","01004AB00A260000","ingame","gpu;status-ingame;nvdec;online-broken"
"DESTINY CONNECT","","ingame","UE4;gpu;nvdec;status-ingame"
"DIABOLIK LOVERS CHAOS LINEAGE","010027400BD24000","ingame","gpu;status-ingame;Needs Update"
"DOOM","0100416004C00000","ingame","gpu;slow;status-ingame;nvdec;online-broken"
"DOOM Eternal","0100B1A00D8CE000","ingame","gpu;slow;status-ingame;nvdec;online-broken"
"DYSMANTLE","010008900BC5A000","ingame","gpu;status-ingame"
"Dark Arcana: The Carnival","01003D301357A000","ingame","gpu;slow;status-ingame"
"Darksiders II Deathinitive Edition","010071800BA98000","ingame","gpu;status-ingame;nvdec;online-broken"
"Dead Z Meat","0100A24011F52000","ingame","UE4;services;status-ingame"
"Deedlit in Wonder Labyrinth","0100EF0015A9A000","ingame","deadlock;status-ingame;Needs Update;Incomplete"
"Descenders","","ingame","gpu;status-ingame"
"Destroy All Humans!","01009E701356A000","ingame","gpu;status-ingame;nvdec;UE4"
"Diablo 2 Resurrected","0100726014352000","ingame","gpu;status-ingame;nvdec"
"Dicey Dungeons","0100BBF011394000","ingame","gpu;audio;slow;status-ingame"
"Dig Dog","0100A5A00DBB0000","ingame","gpu;status-ingame"
"Digerati Presents: The Dungeon Crawl Vol. 1","010035D0121EC000","ingame","slow;status-ingame"
"Disgaea 6: Defiance of Destiny","0100ABC013136000","ingame","deadlock;status-ingame"
"Disgaea 6: Defiance of Destiny Demo [ 魔界戦記ディスガイア６ ]","01005EE013888000","ingame","gpu;status-ingame;demo"
"Disjunction","01000B70122A2000","ingame","gpu;status-ingame;vulkan-backend-bug;opengl-backend-bug"
"Disney Epic Mickey: Rebrushed","0100DA201EBF8000","ingame","status-ingame;crash"
"DoDonPachi Resurrection","01005A001489A000","ingame","status-ingame;32-bit;crash"
"Don't Sink","0100C4D00B608000","ingame","gpu;status-ingame"
"Double Dragon Neon","01005B10132B2000","ingame","gpu;audio;status-ingame;32-bit"
"Double Kick Heroes","","ingame","gpu;status-ingame"
"Down to Hell","0100B6600FE06000","ingame","gpu;status-ingame;nvdec"
"Dr Kawashima's Brain Training","0100ED000D390000","ingame","services;status-ingame"
"DragoDino","","ingame","gpu;nvdec;status-ingame"
"Dragon Audit","0100DBC00BD5A000","ingame","crash;status-ingame"
"Dragon Ball Xenoverse 2","010078D000F88000","ingame","gpu;status-ingame;nvdec;online;ldn-untested"
"Dragon Quest Builders","010008900705C000","ingame","gpu;status-ingame;nvdec"
"Dragon Quest Treasures","0100217014266000","ingame","gpu;status-ingame;UE4"
"Drawful 2","0100F7800A434000","ingame","status-ingame"
"Drawngeon: Dungeons of Ink and Paper","0100B7E0102E4000","ingame","gpu;status-ingame"
"DreamBall","","ingame","UE4;crash;gpu;status-ingame"
"Dreaming Canvas","010058B00F3C0000","ingame","UE4;gpu;status-ingame"
"EA SPORTS FC 25","010054E01D878000","ingame","status-ingame;crash"
"EA SPORTS FIFA 23 Nintendo Switch™ Legacy Edition","01001C8016B4E000","ingame","gpu;status-ingame;crash"
"ESP Ra.De. Psi","0100F9600E746000","ingame","audio;slow;status-ingame"
"EVE ghost enemies","01007BE0160D6000","ingame","gpu;status-ingame"
"Edna & Harvey: The Breakout","01004F000B716000","ingame","status-ingame;crash;nvdec"
"Enchanted in the Moonlight","010068300E08E000","ingame","gpu;status-ingame;nvdec"
"Enchanting Mahjong Match","","ingame","gpu;status-ingame"
"Endless Fables: Dark Moor","01004F3011F92000","ingame","gpu;nvdec;status-ingame"
"Endless Ocean Luminous","010067B017588000","ingame","services-horizon;status-ingame;crash"
"Energy Cycle Edge","0100B8700BD14000","ingame","services;status-ingame"
"Esports powerful pro yakyuu 2020","010073000FE18000","ingame","gpu;status-ingame;crash;Needs More Attention"
"Europa (Demo)","010092501EB2C000","ingame","gpu;status-ingame;crash;UE4"
"FEZ","01008D900B984000","ingame","gpu;status-ingame"
"FIFA 18","0100F7B002340000","ingame","gpu;status-ingame;online-broken;ldn-untested"
"FIFA 19","0100FFA0093E8000","ingame","gpu;status-ingame;nvdec;online-broken;ldn-untested"
"FIFA 20 Legacy Edition","01005DE00D05C000","ingame","gpu;status-ingame;nvdec;online-broken;ldn-untested"
"FIFA 21 Legacy Edition","01000A001171A000","ingame","gpu;status-ingame;online-broken"
"FIFA 22 Legacy Edition","0100216014472000","ingame","gpu;status-ingame"
"FINAL FANTASY X/X-2 HD REMASTER","0100BC300CB48000","ingame","gpu;status-ingame"
"FOOTBALL MANAGER 2023 TOUCH","0100EDC01990E000","ingame","gpu;status-ingame"
"FUZE Player","010055801134E000","ingame","status-ingame;online-broken;vulkan-backend-bug"
"Fairy Fencer F™: Advent Dark Force","0100F6D00B8F2000","ingame","status-ingame;32-bit;crash;nvdec"
"Fall Of Light","01005A600BE60000","ingame","slow;status-ingame;nvdec"
"Fantasy Tavern Sextet -Vol.1 New World Days-","01000E2012F6E000","ingame","gpu;status-ingame;crash;Needs Update"
"Fantasy Tavern Sextet -Vol.2 Adventurer's Days-","","ingame","gpu;slow;status-ingame;crash"
"Fast RMX","01009510001CA000","ingame","slow;status-ingame;crash;ldn-partial"
"Fate/EXTELLA","010053E002EA2000","ingame","gpu;status-ingame;nvdec;online-broken;vulkan-backend-bug;opengl-backend-bug"
"Finding Teddy 2 : Definitive Edition","0100FF100FB68000","ingame","gpu;status-ingame"
